Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rd,cp_rs1_edges,cmp_rd_rs1
sm3p0,I1,x,x,x,x,x,x,x
sm3p1,I1,x,x,x,x,x,x,x
