Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_custom
cbo.inval,CBO,x,x,x,nx0,cbo
cbo.clean,CBO,x,x,x,nx0,cbo
cbo.flush,CBO,x,x,x,nx0,cbo
