Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_fd,cp_fs2,cp_imm_mul
c.fld,CFL,x,x,x,p,p,,8
c.fldsp,CFLS,x,x,x,,x,,8sp
c.fsd,CFS,x,x,x,p,,p,8
c.fsdsp,CFSS,x,x,x,,,x,8sp
