Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs1_edges,cr_rs1_cimm_edges,cp_offset
beqi,BI,x,x,x,x,x,offset,x
bnei,BI,x,x,x,x,x,offset,x
