"Sr No
(link to coverage)",Test Written,Coverpoint Written,,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Normative Rules,Notes,Spec,,,,
"All reduction operations, vmv.s.x, vslideup, vslidedown, vmv<nr>r.v instructions, vfirst",,,,,,,,,,,,,,,,
cp_custom_vl0,,tested with cp_vl_0,"The vfirst.m instruction writes x[rd] even if vl=0 (with the value -1, since no mask elements are active).",Confirm that the scalar element in vs1 is not coppied to vd if vl = 0,"with vl = 0 and vd != vs1 run a reduction instruction

vd != vs1 confirm that the instruction is actaully testing if the scalar value from vs1 is coppied to vd",Vd is not updated,1,,,vreduction_vl_0,,"Vector reduction: For the uncommon case that the source and destination scalar operand are in different vector registers, this instruction will not copy the source into the destination when vl=0.

[For reduction operations] If vl=0, no operation is performed and the destination register is not updated.","The vfirst.m instruction writes x[rd] even if vl=0 (with the value -1, since no mask elements are active).","The vfirst.m instruction writes x[rd] even if vl=0 (with the value -1, since no mask elements are active).","The vfirst.m instruction writes x[rd] even if vl=0 (with the value -1, since no mask elements are active).","The vfirst.m instruction writes x[rd] even if vl=0 (with the value -1, since no mask elements are active)."
X - writing instructuons,,,,,,,,,,,,,,,,
cp_custom_gprWriting_vstart_eq_vl,,,,Confirm GPR producing insturctions execute even when vstart >= vl,"For a gpr register writing instruction, execute with vl = 0 and vstart = 0.

This should ensure the instruction executes even in this unique condition",Gpr register is updated,1,,,vstart_vl_scalar_indp,,"Instructions that write an x register or f register do so even when vstart ≥ vl, including when vl=0.",,,,
All vzext and vsext instructions ending in f2,,,,,,,,,,,,,,,,
cp_custom_vext2_overlapping_vd_vs2_lmul2,,,,"Confirm that with zero and sign extending instructions ending in ""f2,"" when the vs2 overlaps the top half of the vd register group the operation is legal","Conduct a widening operation with lmul=2, vs2 overlapping the top half of the vd register group (if lmul is 2 and vd = v0 then vs2 must be v1 for vzext.vf2).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,EEW; EEW_SEW_LMUL_dep; EMUL; EMUL_SEW_LMUL_dep; vreg_overlap_legal; vzext_op; vzext_vd_eew_emul; vzext_vs_eew_emul,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_vext2_overlapping_vd_vs2_lmul4,,,,"Confirm that with zero and sign extending instructions ending in ""f2,"" when the vs2 overlaps the top half of the vd register group the operation is legal","Conduct a widening operation with lmul=2, vs2 overlapping the top half of the vd register group (if lmul is 2 and vd = v0 then vs2 must be v1 for vzext.vf2).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,EEW; EEW_SEW_LMUL_dep; EMUL; EMUL_SEW_LMUL_dep; vreg_lmulge2_op; vreg_overlap_legal; vzext_op; vzext_vd_eew_emul; vzext_vs_eew_emul,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_vext2_overlapping_vd_vs2_lmul8,,,,"Confirm that with zero and sign extending instructions ending in ""f2,"" when the vs2 overlaps the top half of the vd register group the operation is legal","Conduct a widening operation with lmul=2, vs2 overlapping the top half of the vd register group (if lmul is 2 and vd = v0 then vs2 must be v1 for vzext.vf2).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,EEW; EEW_SEW_LMUL_dep; EMUL; EMUL_SEW_LMUL_dep; LMUL; vreg_lmulge2_op; vreg_overlap_legal; vzext_op; vzext_vd_eew_emul; vzext_vs_eew_emul,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
All vzext and vsext instructions ending in f4,,,,,,,,,,,,,,,,
cp_custom_vext4_overlapping_vd_vs2_lmul4,,,,"Confirm that with zero and sign extending instructions ending in ""f4,"" when the vs2 overlaps the top quarter of the vd register group the operation is legal","Conduct a widening operation with lmul=4, vs2 overlapping the top quarter of the vd register group (if lmul is 4 and vd = v0 then vs2 must be v3 for vzext.vf4).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,EEW; EMUL; vreg_offgroup_LMUL4_rsv; vreg_overlap_legal; vzext_op; vzext_vd_eew_emul; vzext_vs_eew_emul,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
