"Sr No
(link to coverage)",Test written,Feature (coverpoint written),Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Feature covered,Notes,Spec,,,
cp_vill_vset_i_vli,yes,,Check that vset{i}vli instructions properly clear the vill bit when writing a valid vtype configuration,"Run vsetvli and vsetivli with eSEW = {8/16/32/64} with mLMUL = {8} and vtype.vill = {1}

we set lmul to 8 to write a non-zero value to the CSR",expect vill bit is cleared and vtype written when sew is legal,2 instructions * 4 sew bins,,,,,"If the vill bit is set, then any attempt to execute a vector instruction that depends upon vtype will raise an illegal-instruction exception [except]....vset{i}vl{i} .... [does] not depend upon vtype",,,
cp_vill_vsetvl,yes,,Check that vsetvl instruction properly clears the vill bit when writing a valid vtype configuration,"Run vsetvl with rs2.sew = {8/16/32/64} with rs2.lmul = {8} and vtype.vill = {1} making sure rs2_val[`XLEN-1:8] = 0

we set lmul to 8 to write a non-zero value to the CSR. rs2 must be in this manner to be a legal setting",expect vill bit is cleared and vtype written when sew is legal,4 sew bins,,,,,"If the vill bit is set, then any attempt to execute a vector instruction that depends upon vtype will raise an illegal-instruction exception [except]....vset{i}vl{i} .... [does] not depend upon vtype",,,
cp_vill_vsetvl_rs2_vill,yes,,"Check that when attempting to set a valid configuration but with the rs2.vill bit set, and the vtype.vill bit set, that the register remains all zeros besides the vill bit","Run vsetvl with rs2.sew = {8/16/32/64} with vtype.lmul = {8} and vtype.vill = {1} making sure rs2_val[`XLEN-2:8] = 0 and rs2[XLEN-1] = 1

we set lmul to 8 to attempt to write a non-zero value to the CSR. rs2 must be in this manner to be a legal setting.",vtype register remains unchanged,4 sew bins,,,,,"If the vill bit is set, then any attempt to execute a vector instruction that depends upon vtype will raise an illegal-instruction exception [except]....vset{i}vl{i} .... [does] not depend upon vtype",,,
,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,
cp_vsetvl_rs2_vill,,,Confirm that with vsetvl if rs2 has the vill bit set that it is treated as an unsupported configuration,"run a vsetvl with rs2[XLEN-1] = 1, rs2[XLEN-2:8]=0 and rs2.sew = {supported} and rs2.lmul = 1 and vtype.vill = {0}

sew must be supported and rs2[XLEN-2:8] zero to verify the configuration is illegal due to the vill bit being set",vill bit should be set,,,,,,A vtype value with vill set is treated as an unsupported configuration.,,,
cp_vset_vill,,covered by coverpoint above,Confirm that writing 1 to vill clears other bits of vtype,"Set rs1 nonzero, rs1 = 1 in XLEN-1, 11 in 7:6 (vma/vta). vsetvl rd, rs1, rs2 and vtype.vill = {0}",vtype.vill becomes 1 and other bits become 0,1,,,,,"When the vill bit is set, the other XLEN-1 bits in vtype shall be zero.",,,
cp_vtype_vill_set_vl_0,yes,,"Confirm that if an unsupported configuration is set, that vl is set to zero",Run vsetvl with rs1 non-zero and rs2 vill bit set and vl =! 0,vl should be set to zero,1,,,,,"If the vtype value is not supported by the implementation, then the vill bit is set in vtype, the remaining bits in vtype are set to zero, and the vl register is also set to zero.",,,
,,,,,,,,,,,,,,
cp_vsetvl_rd_nx0_rs1_x0,yes,,Confirm that when running a vsetvl instruction with rd != x0 and rs1 = x0 that vl is set to vlmax,"with vl != vlmax, conduct vsetvl with rd != x0 and rs1 = x0. Cross with sew = {8/16/32/64} and respective supported lmul {supported(f8,f4,f2,)1,2,4,8}

we want vl != vlmax since similar syntax leaves vl unmodified.",vl csr is set to vlmax,4 sew bins * 7 lmul bins,,,,,"When rs1=x0 but rd≠x0, the maximum unsigned integer value (~0) is used as the AVL, and the resulting VLMAX is written to vl and also to the x register specified by rd.",,,
cp_vsetvli_rd_nx0_rs1_x0,yes,,Confirm that when running a vsetvli instruction with rd != x0 and rs1 = x0 that vl is set to vlmax,"with vl != vlmax, conduct vsetvli with rd != x0 and rs1 = x0. Cross with sew = {8/16/32/64} and respective supported lmul {supported(f8,f4,f2,)1,2,4,8}

we want vl != vlmax since similar syntax leaves vl unmodified.",vl csr is set to vlmax,4 sew bins * 7 lmul bins,,,,,"When rs1=x0 but rd≠x0, the maximum unsigned integer value (~0) is used as the AVL, and the resulting VLMAX is written to vl and also to the x register specified by rd.",,,
cp_vsetvl_rd_x0_rs1_x0,yes,,Confirm that when running a vsetvl instruction with rd = x0 and rs1 = x0 that vl is unchanged,"with vl != 0, conduct vsetvl with rd = x0 and rs1 = x0. sew and lmul must be such that vlmax does not change

vlmax must not change for the instruction to not be reserved.",vl is unchanged,1,,,,,"When rs1=x0 and rd=x0, the instruction operates as if the current vector length in vl is used as the AVL, and the resulting value is written to vl, but not to a destination register. This form can only be used when VLMAX and hence vl is not actually changed by the new SEW/LMUL ratio.",,,
cp_vsetvli_rd_x0_rs1_x0,yes,,Confirm that when running a vsetvli instruction with rd = x0 and rs1 = x0 that vl is unchanged,"with vl != 0, conduct vsetvli with rd = x0 and rs1 = x0. sew and lmul must be such that vlmax does not change

vlmax must not change for the instruction to not be reserved.",vl is unchanged,1,,,,,"When rs1=x0 and rd=x0, the instruction operates as if the current vector length in vl is used as the AVL, and the resulting value is written to vl, but not to a destination register. This form can only be used when VLMAX and hence vl is not actually changed by the new SEW/LMUL ratio.",,,
AVL ,,,,,,,,,,,,,,
cp_vsetvl_i_avl_eq_zero,yes,,Confirm that vsetvl{i} instructions follow vl requirements when avl is zero,Run vsetvli and vsetvl with rs1 = 0,vl = 0,1,,,,,"The vset{i}vl{i} instructions first set VLMAX according to their vtype argument, then set vl obeying the following constraints:

These specific properties follow from the prior rules: vl = 0 if AVL = 0",,,
cp_vsetvl_i_avl_eq_vlmax,yes,,Confirm that vsetvl{i} instructions follow avl requirements when equal to vlmax,Run vsetvli and vsetvl with rs1 = vlmax,vl = avl,1,,,,,"The vset{i}vl{i} instructions first set VLMAX according to their vtype argument, then set vl obeying the following constraints:

vl = AVL if AVL ≤ VLMAX",,,
cp_vsetvl_i_avl_lt_2x_vlmax,"yes, is a chance that sig don't match",,Confirm that vsetvl{i} instructions follow avl requirements when greater than vlmax and less than equal to 2*vlmax (if avl is less than 2* vlmax),Run vsetvli and vsetvl with vlmax < rs1 < 2 *vlmax,ceil(AVL / 2) ≤ vl ≤ VLMAX,1,,,,,"The vset{i}vl{i} instructions first set VLMAX according to their vtype argument, then set vl obeying the following constraints:

ceil(AVL / 2) ≤ vl ≤ VLMAX if AVL < (2 * VLMAX)",,,
cp_vsetvl_i_avl_eq_2x_vlmax,yes,,Confirm that vsetvl{i} instructions follow avl requirements when greater than 2 * vlmax (when avl is greater than equal to 2 * vlmax),Run vsetvli and vsetvl with rs1 ≥ 2 *vlmax,vl = VLMAX,1,,,,,"The vset{i}vl{i} instructions first set VLMAX according to their vtype argument, then set vl obeying the following constraints:

vl = VLMAX if AVL ≥ (2 * VLMAX)",,,
cp_vsetvl_i_avl_gt_2x_vlmax,yes,,Confirm that vsetvl{i} instructions follow avl requirements when greater than 2 * vlmax (when avl is greater than equal to 2 * vlmax),Run vsetvli and vsetvl with rs1 ≥ 2 *vlmax,vl = VLMAX,1,,,,,"The vset{i}vl{i} instructions first set VLMAX according to their vtype argument, then set vl obeying the following constraints:

vl = VLMAX if AVL ≥ (2 * VLMAX)",,,
cp_vsetivli_avl_corners,yes,,Confirm that vsetivli abides by the avl corners,Run vsetivli with all values of imm = {[0:31]} with sew = {all_supported} and lmul = 1,Abides by avl rules depending on ,4 sew bins * 32 imm bins,,,,,"The vset{i}vl{i} instructions first set VLMAX according to their vtype argument, then set vl obeying the following constraints:",,,
,,,,,,,,,,,,,,
vstart,,,,,,,,,,,,,,
cp_vstart_out_of_bounds,yes,,Confirm that the vstart CSR only has enough writeable bits to hold the largest element index (2^16-1),conduct a csr write with rs1 = 2^16 on the vstart register,"Not defined in spec, either vstart takes the bottom bits or sets to vlmax-1",1,,,,,The vstart CSR is defined to have only enough writable bits to hold the largest element index (one less than the maximum VLMAX). Try to write a number greater than what is legal,,,
,,,,,,,,,,,,,,
cp_sew_illegal,,cant be tested,,"Cannot set SEW < 8, all set SEW must be powers of 2 (can accomplish this by looping and setting sew of 2x until vill bit is set and then confirm that vill bit is set whenever setting a non power of 2 sew in that range)",,,,,,,,,,
cp_vl_walking1s_sew_lmul,,,Confirm that all vl CSR bit fields are correctly set for all combinations of sew and lmul (thus all VLMAX),"Running the vsetvli instruction, cross all sew = {8/16/32/64} lmul = {f8, f4,f2, 1, 2, 4, 8} with rs1 ={XLEN 1-hot values}

This is done by conducting a vsetivli everytime followed by a walking one csr write to ensure the target sew and lmul were attempted to be written",vl register will be set in accordance with vlmax,4sew * 7 lmul * XLEN 1-hot values,,,,,,,,
cp_vlen_illegal,,covered by csr writing tests,,"Cannot set VLEN greater than 2^16, can check vl with eew = 8","vsetvli rs1={0, 1, 2, 3, 4, 7, 8, 9, 16, 32, 64... 2^16}
corners: (rs1 - 1)",,,,,,,,,
,,untestable,,"The vector extension must have a consistent state at reset. In particular, vtype and vl must have values that can be read and then restored with a single vsetvl instruction. (make sure reset is called)",,,,,,,,,,
